playlist_id,track_id,title,artists,artist_ids,preview_url,album,cover_url,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness,key,mode,time_signature,track_popularity,release_date,cluster,mood,playlist_name,artist_image_url,album_name,album_image,release_date.1,total_tracks,playlist_cover_image_url
37i9dQZF1E36jQAgl791vy,1fSr5C6Ih0AK3AJehYZ6xd,Athugala wehera,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/0922beeab881f4418429770b6006b51cd8fc107a?cid=ff14a0bc7f824e879d94d30736b0a1ac,Athugala wehera,https://i.scdn.co/image/ab67616d0000b273f2cadf22a2a2db5e1aaa358c,0.701,0.572,0.84,139.967,0.0797,0.0774,0.0973,-10.525,0.0327,7,1,3,31,4/5/2005,8,Upset,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Athugala wehera,https://i.scdn.co/image/ab67616d0000b273f2cadf22a2a2db5e1aaa358c,4/5/2005,1,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
37i9dQZF1E36jQAgl791vy,4aeYSaRqJCwglBcdJq616X,Marambaree,"Rohana Weerasinghe, Edward Jayakody","7xtH99LIfTdFERRQE7kT8z, 5vEOJqGp3u64wA0HA3a7nc",https://p.scdn.co/mp3-preview/d263ec6ef77d611687f61ff1ec39f4590d7f963b?cid=ff14a0bc7f824e879d94d30736b0a1ac,"Best of Edward Jayakody, Vol. 1",https://i.scdn.co/image/ab67616d0000b273cf7d1eb06f9f8c426762c15d,0.402,0.56,0.595,94.13,0.572,5.62E-05,0.242,-7.152,0.0404,2,1,4,14,10/20/2019,2,Relaxed,Daily Mix 2,https://i.scdn.co/image/ab67616d0000b2732f6351864d709ad8b4a721e2,"Best of Edward Jayakody, Vol. 1",https://i.scdn.co/image/ab67616d0000b273cf7d1eb06f9f8c426762c15d,10/20/2019,10,https://dailymix-images.scdn.co/v2/img/ab6761610000e5ebaa82df0bfa7e4a83212a310c/2/en/default
01G6g2PigQYBdhiGFBkwAl,3yEI6i7TSX2nCNxxt3nKTA,Nuwara Eliye,Damith Asanka,760ERQKBOmqJ7GMUnVoTuS,https://p.scdn.co/mp3-preview/bc29b5fe62af018d2c352ecd924034270c5c38dc?cid=ff14a0bc7f824e879d94d30736b0a1ac,Nuwara Eliye - Single,https://i.scdn.co/image/ab67616d0000b273073254561db2d62214beaf5d,0.697,0.595,0.962,140.944,0.173,5.27E-06,0.073,-8.683,0.0325,5,0,3,24,2014,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2736c01ec8974808d694c5fa7c1,Nuwara Eliye - Single,https://i.scdn.co/image/ab67616d0000b273073254561db2d62214beaf5d,2014,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,30KTKfAejhyc1NZ1TayH58,Kiriweherata Yana Pare,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/6f4bc9434b3b08e9ed9d53977cd543a7bacdee12?cid=ff14a0bc7f824e879d94d30736b0a1ac,Best of Chamara,https://i.scdn.co/image/ab67616d0000b273873e1c0619d9dd5daa7469c5,0.681,0.503,0.929,134.883,0.0987,0,0.301,-12.194,0.032,5,0,3,28,1/31/2010,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Best of Chamara,https://i.scdn.co/image/ab67616d0000b273873e1c0619d9dd5daa7469c5,1/31/2010,4,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,65B3jSM4VYMTev54tAjh9A,Noleba Obe Adare,"Radeesh Vandebona, Damith Asanka","1XJqTUg7BCcJgzk976s2q0, 760ERQKBOmqJ7GMUnVoTuS",https://p.scdn.co/mp3-preview/739ac9c79bec6bf2a5992c769aae0fa16fbee3f3?cid=ff14a0bc7f824e879d94d30736b0a1ac,Radeesh's 2010s,https://i.scdn.co/image/ab67616d0000b273fce6f4bafb240f6824982533,0.735,0.585,0.785,117.982,0.418,0,0.119,-10.252,0.0354,5,0,4,0,3/25/2023,1,Excited,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b273cfda92a2f598ed3754c935ad,,,3/25/2023,,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,2rpdBe6mjKFu6WcvJ3KuWN,Oya susum pawan,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/6716779540bac2e2416d3ee80fcd077180f8b316?cid=ff14a0bc7f824e879d94d30736b0a1ac,Oya susum pawan,https://i.scdn.co/image/ab67616d0000b273b3a21a513a0fb81d84001e12,0.74,0.469,0.755,79.882,0.21,2.54E-06,0.0507,-10.616,0.0349,5,0,3,30,7/4/2003,9,Sad,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Oya susum pawan,https://i.scdn.co/image/ab67616d0000b273b3a21a513a0fb81d84001e12,7/4/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,0vLLGWFJlHPvbPGn0sGLBF,Udawediya Malak Wela,"Rohana Weerasinghe, Chamara Weerasinghe","7xtH99LIfTdFERRQE7kT8z, 0Dnie0m84vyBv4S33KKOgy",https://p.scdn.co/mp3-preview/a6ea7d82993ffec59654d454e18dc87694a22b5d?cid=ff14a0bc7f824e879d94d30736b0a1ac,"Top Sinhala Songs, Vol. 57",https://i.scdn.co/image/ab67616d0000b2730d3659a38a49330936c9d5a9,0.751,0.556,0.913,134.876,0.259,0,0.161,-12.201,0.0343,5,1,3,25,9/5/2020,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2732f6351864d709ad8b4a721e2,"Top Sinhala Songs, Vol. 57",https://i.scdn.co/image/ab67616d0000b2730d3659a38a49330936c9d5a9,9/5/2020,25,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,74WZ8OV8YXrhoYPknBtdWQ,Hithawathiya,Damith Asanka,760ERQKBOmqJ7GMUnVoTuS,https://p.scdn.co/mp3-preview/f589262f91002c08898d5452b01340fa14a6dce8?cid=ff14a0bc7f824e879d94d30736b0a1ac,Hithawathiya,https://i.scdn.co/image/ab67616d0000b2734554f7189c5ee7b0861425b4,0.498,0.298,0.331,79.475,0.814,0,0.142,-11.921,0.0415,2,0,4,29,10/5/2021,2,Relaxed,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2736c01ec8974808d694c5fa7c1,Hithawathiya,https://i.scdn.co/image/ab67616d0000b2734554f7189c5ee7b0861425b4,10/5/2021,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,4I07UHaXYfOVnkODKbt2T1,Sithin witharak,"Chamara Weerasinghe, Aradhana Ekanayaka","0Dnie0m84vyBv4S33KKOgy, 4u7oLWAsRHOXbfwr4FDQQq",https://p.scdn.co/mp3-preview/c5e39005c06fce668bbd6aca539cd9137285b2c4?cid=ff14a0bc7f824e879d94d30736b0a1ac,Sithin witharak,https://i.scdn.co/image/ab67616d0000b273db04f0b59f884ab51cb8dd49,0.692,0.681,0.922,94.936,0.231,1.32E-05,0.105,-10.228,0.0368,0,0,4,34,3/4/2003,9,Sad,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Sithin witharak,https://i.scdn.co/image/ab67616d0000b273db04f0b59f884ab51cb8dd49,3/4/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,3Hm9HWVnVeoWguzLzJ4Yd0,Madunagala,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/77f61106022867c58235cfe7160a623ee4191bac?cid=ff14a0bc7f824e879d94d30736b0a1ac,Madunagala,https://i.scdn.co/image/ab67616d0000b273b5dbdb7a31b0ab1c5d6e0c2e,0.667,0.677,0.97,149.873,0.326,1.46E-06,0.112,-10.753,0.0345,5,0,3,28,4/4/2003,0,Happy,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Madunagala,https://i.scdn.co/image/ab67616d0000b273b5dbdb7a31b0ab1c5d6e0c2e,4/4/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,0siTpOJUu3zWkYSdEAZKrX,Lengathukama,"Chamara Weerasinghe, Aradhana Ekanayaka","0Dnie0m84vyBv4S33KKOgy, 4u7oLWAsRHOXbfwr4FDQQq",https://p.scdn.co/mp3-preview/a76a60da23717f06cffb0b8e1db713f77cffe21c?cid=ff14a0bc7f824e879d94d30736b0a1ac,Lengathukama,https://i.scdn.co/image/ab67616d0000b27381f491dd0c3144248eaf3618,0.803,0.567,0.967,130.635,0.363,8.22E-05,0.273,-10.841,0.0331,9,0,3,25,2/3/2003,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Lengathukama,https://i.scdn.co/image/ab67616d0000b27381f491dd0c3144248eaf3618,2/3/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,5DYiHmjEOHIOEvRjKqSLvq,Gatabaru Kande,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/5bb08ae1cab2a41dd58fb747138ae2164748d320?cid=ff14a0bc7f824e879d94d30736b0a1ac,Gatabaru Kande,https://i.scdn.co/image/ab67616d0000b27390d9dccc41a7b581785ddff9,0.771,0.534,0.961,135.064,0.158,0,0.187,-11.278,0.0323,1,1,3,15,2/3/2003,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Gatabaru Kande,https://i.scdn.co/image/ab67616d0000b27390d9dccc41a7b581785ddff9,2/3/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,6VAFaKibB4o55uShKkKOGT,Thanamalvila,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/c4ee1feb6dc935d715615a9354e80037f78ce1ea?cid=ff14a0bc7f824e879d94d30736b0a1ac,Thanamalvila,https://i.scdn.co/image/ab67616d0000b273c5a56ac1dd4b939224b2a285,0.837,0.565,0.867,129.856,0.433,0,0.0868,-10.978,0.0441,0,1,3,21,2/3/2003,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Thanamalvila,https://i.scdn.co/image/ab67616d0000b273c5a56ac1dd4b939224b2a285,2/3/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,01QJBPnVFwe7PJtOVOtwSp,Ammalage,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/978144642b6f7ef10188d571acaa088b5a72b496?cid=ff14a0bc7f824e879d94d30736b0a1ac,Ammalage,https://i.scdn.co/image/ab67616d0000b273fa1b2056f31593a24976fe86,0.745,0.758,0.976,134.979,0.29,0.000222,0.31,-10.563,0.031,5,1,3,14,1/2/2003,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Ammalage,https://i.scdn.co/image/ab67616d0000b273fa1b2056f31593a24976fe86,1/2/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,7JQqLOs8kUttYwof9YZeYv,Laya gindarin,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/bc035363044eb2972d2798d57e592733ccf02eaf?cid=ff14a0bc7f824e879d94d30736b0a1ac,Laya gindarin,https://i.scdn.co/image/ab67616d0000b273b10f0d15069cb52384afb422,0.676,0.521,0.939,135.06,0.347,4.30E-06,0.132,-12.074,0.0285,5,0,3,17,3/4/2003,1,Excited,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Laya gindarin,https://i.scdn.co/image/ab67616d0000b273b10f0d15069cb52384afb422,3/4/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,72X17nuJjHZxYpZSgbNrsS,Jeewithaye hodama hariya,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/97f9cac53619da56f9098e3c9f4fd3efb3ba1546?cid=ff14a0bc7f824e879d94d30736b0a1ac,Jeewithaye hodama hariya,https://i.scdn.co/image/ab67616d0000b27340f4630a6a0820232c869089,0.702,0.552,0.949,135.043,0.316,5.64E-05,0.149,-12.246,0.0319,0,1,3,20,3/4/2003,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Jeewithaye hodama hariya,https://i.scdn.co/image/ab67616d0000b27340f4630a6a0820232c869089,3/4/2003,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,4Ahnn704LnSq2lRDIJtd5N,Maharagamata Wahinnathiwa,"Rohana Weerasinghe, Chamara Weerasinghe","7xtH99LIfTdFERRQE7kT8z, 0Dnie0m84vyBv4S33KKOgy",https://p.scdn.co/mp3-preview/54de1936a0f4f69a7f0a5c79f52486d66dfa78d0?cid=ff14a0bc7f824e879d94d30736b0a1ac,"Top Sinhala Songs, Vol. 26",https://i.scdn.co/image/ab67616d0000b273fe48bcf2e8b21c24e0b98244,0.723,0.688,0.974,130.049,0.321,4.34E-06,0.259,-8.634,0.0307,2,0,3,21,8/15/2020,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2732f6351864d709ad8b4a721e2,"Top Sinhala Songs, Vol. 26",https://i.scdn.co/image/ab67616d0000b273fe48bcf2e8b21c24e0b98244,8/15/2020,24,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,0u0rMujXNCAHk5oaJf80pb,Thani Mata,Damith Asanka,760ERQKBOmqJ7GMUnVoTuS,https://p.scdn.co/mp3-preview/d0980faba79a9ec38c5ce2648d913ee3eceac1a5?cid=ff14a0bc7f824e879d94d30736b0a1ac,Thani Mata,https://i.scdn.co/image/ab67616d0000b27337ed73822038d5286d57e27c,0.726,0.549,0.629,112.942,0.717,2.25E-05,0.367,-10.714,0.0567,7,0,4,30,12/2/2020,1,Excited,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2736c01ec8974808d694c5fa7c1,Thani Mata,https://i.scdn.co/image/ab67616d0000b27337ed73822038d5286d57e27c,12/2/2020,1,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
01G6g2PigQYBdhiGFBkwAl,7IcR7dAOJgjU4Zm1wey7UR,Rosa Pethi,Chamara Weerasinghe,0Dnie0m84vyBv4S33KKOgy,https://p.scdn.co/mp3-preview/f83ff20e1e4531b2e4f5433c8eeaedd5b11237c3?cid=ff14a0bc7f824e879d94d30736b0a1ac,Anthima Adarayai,https://i.scdn.co/image/ab67616d0000b2739b25417972950ae4e4d3b4bf,0.769,0.541,0.765,120.004,0.2,9.83E-05,0.133,-11.753,0.0367,5,0,4,31,3/5/2020,8,Upset,Chamara Weerasinghe & Damith Asanka,https://i.scdn.co/image/ab67616d0000b2738994651798d4037c3c025ff4,Anthima Adarayai,https://i.scdn.co/image/ab67616d0000b2739b25417972950ae4e4d3b4bf,3/5/2020,9,https://mosaic.scdn.co/640/ab67616d00001e02073254561db2d62214beaf5dab67616d00001e02873e1c0619d9dd5daa7469c5ab67616d00001e02b3a21a513a0fb81d84001e12ab67616d00001e02fce6f4bafb240f6824982533
